,title,artists,album,release_date,duration,spotifyID,popularity,isExplicit,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,lyrics
0,Every Hour,Kanye West,JESUS IS KING,2019-10-25,112239,1WnqWQcWcuQbVzgE7ecfCY,62,False,0.466,0.588,0.7929999999999999,0.000647,7,0.9129999999999999,-6.23,1,0.0794,76.997,5,0.6940000000000001,"Sing every hour (Every hour, 'til the power)
Every minute (Every minute, of the Lord)
Every second (Every second, comes)
Sing each and every millisecond (Down)
We need you (We need you, sing 'til the power)
We need you (We need you, of the Lord)
We need you (Comes)
Oh, we need you (Down)

Sing 'til the power of the Lord comes down
Sing 'til the power of the Lord comes down
Sing 'til the power of the Lord comes down (Let everything that have breath praise God)
Sing 'til the power of the Lord comes down ('Cause when we sing the glory of the Lord comes down, down)
Sing 'til the power of the Lord comes down (Praising the Lord, praise God in the sanctuary)
Sing 'til the power of the Lord comes down (For His mighty works and excellent grace and His mighty power, yeah)
Sing 'til the power of the Lord comes down (Sing 'til the power of the Lord falls down)
Sing 'til the power of the Lord comes down (We are to sing 'til the power of the Lord comes down)
Sing 'til the power of the Lord comes down (Let us sing, let us sing, oh, sing)
Sing 'til the power of the Lord comes down (Let us sing, let us sing, oh, sing)

Sing every hour (Every hour, 'til the power)
Every minute (Every minute, of the Lord)
Every second (Every second, comes)
Sing each and every millisecond (Down)
We need you (We need you, sing 'til the power)
We need you (We need you, of the Lord)
We need you (Comes)
Oh, we need you (Down)

Sing 'til the power of the Lord comes down (Sing 'til the power of the Lord falls down)
Sing 'til the power of the Lord comes down (We are to sing 'til the power of the Lord comes down)

Sing every hour (Every hour, 'til the power)
Every minute (Every minute, of the Lord)
Every second (Every second, comes)
Sing each and every millisecond (Down)
We need you (We need you, sing 'til the power)
We need you (We need you, of the Lord)
We need you (Comes)
Oh, we need you (Down)"
1,Selah,Kanye West,JESUS IS KING,2019-10-25,164619,39JRmdKFka1Oe09FoOCPI4,66,False,0.647,0.48200000000000004,0.618,0.000859,9,0.32,-5.672999999999999,0,0.19699999999999998,90.07600000000001,3,0.146,"God is King, we the soldiers
Ultrabeam out the solar
When I get to Heaven's gates
I ain’t gotta peek over
Keepin' perfect composure
When I scream at the chauffeur
I ain't mean, I’m just focused
I ain't mean, I'm just focused
Pour the lean out slower
Got us clean out of soda
Before the flood, people judge
They did the same thing to Noah
Everybody wanted Yandhi
Then Jesus Christ did the laundry
They say the week start on Monday
But the strong start on Sunday
Won't be in bondage to any man
John 8:33
We the descendants of Abraham
Ye should be made free
John 8:36
To whom the son set free is free indeed
He saved a wretch like me

Hallelujah, hallelujah, hallelujah, hallelujah
Hallelujah, hallelujah, hallelujah, hallelujah
Hallelujah, hallelujah, hallelujah, hallelujah
Hallelujah, hallelujah, hallelujah, hallelujah
Hallelujah, hallelujah, hallelujah, hallelujah
Hallelujah, hallelujah, hallelujah, hallelujah
Hallelujah, hallelujah, hallelujah, hallelujah
Hallelujah, hallelujah, hallelujah, hallelujah
Hallelujah, hallelujah, hallelujah, hallelujah
Hallelujah, hallelujah, hallelujah, hallelujah
Hallelujah, He is wonderful

If you woke, then wake up
With Judas, kiss and make up
Even with the bitter cup
Forgave my brothers and drank up
Did everything but gave up
Stab my back, I can't front
Still we win, we prayed up
Even when we die, we raise up (Hallelujah)
Ain't no wantin', no, we need it
The powers that be done been greedy
We need ours by this evening
No white flag or no treaty
We got the product, we got the tools
We got the minds, we got the youth
We goin' wild, we on the loose
People is lying, we are the truth
Everything old shall now become new
The leaves’ll be green, bearing the fruit
Love God and our neighbor, as written in Luke
The army of God and we are the truth

Wah, woo, wah, woo, woo, woo, woo, woo
Wah, woo, wah, woo, woo, woo, woo, woo
Woo, woo, woo, woo, woo, woo, woo, woo
Wah, woo, wah, woo, woo, woo, woo"
2,Follow God,Kanye West,JESUS IS KING,2019-10-25,104591,2QpGZOhTCHHiKmpSO9FW4h,76,False,0.000248,0.529,0.9,1.21e-05,1,0.0426,-3.503,1,0.418,180.291,4,0.434,"Father, I stretch
Stretch my hands to You

Lifelike, this is what your life like, try to live your life right
People really know you, push your buttons like typewrite
This is like a movie, but it's really very lifelike
Every single night, right, every single fight, right?
I was looking at the 'Gram and I don't even like likes
I was screamin' at my dad, he told me, ""It ain't Christ-like""
I was screamin' at the referee just like Mike
Lookin' for a bright light, Sigel, what your life like
Riding on a white bike, feeling like Excitebike (Stretch my hands to You)
Pressin' on the gas, supernova for a night light
Screamin' at my dad and he told me, ""It ain't Christ-like""
But nobody never tell you when you're being like Christ
Only ever seein' me only when they needin' me
Like if Tyler Perry made a movie for BET
Searchin' for a deity, now you wanna see it free
Now you wanna see if we, let's just see if three apiece
Tell me what your life like, turn it down, a bright light
Drivin' with my dad, and he told me, ""It ain't Christ-like"" (Stretch my hands to You)
I'm just tryna find, l've been lookin' for a new way
I'm just really tryin' not to really do the fool way
I don't have a cool way, bein' on my best, though
Block 'em on the text though, nothin' else next though
Not another word, letter, picture, or a decimal (Father, I stretch)
Wrestlin' with God, I don't really want to wrestle
Man, it's really lifelike, everything in my life (Stretch my hands to You)
Arguing with my dad, and he said, ""It ain't Christ-like""

Man
You know, it's like
Somebody only close who can get you, like, off your
I be on my
I woke up this morning, I said my prayers
I'm all doing good, I tried to talk to my dad (Stretch my hands to You)
Give him some advice, he starts spazzin' on me
I start spazzin' back, He said ""That ain't Christ-like""
I said, ""Ahhh"""
3,Closed On Sunday,Kanye West,JESUS IS KING,2019-10-25,151873,3JWiDGQX2eTlFvKj3Yssj3,68,False,0.873,0.799,0.29100000000000004,0.000641,11,0.139,-7.353,0,0.0318,97.984,4,0.406,"Closed on Sunday, you're my Chick-fil-A
Closed on Sunday, you my Chick-fil-A
Hold the selfies, put the 'Gram away
Get your family, y'all hold hands and pray
When you got daughters, always keep 'em safe
Watch out for vipers, don't let them indoctrinate
Closed on Sunday, you my Chick-fil-A
You're my number one, with the lemonade
Raise our sons, train them in the faith
Through temptations, make sure they're wide awake
Follow Jesus, listen and obey
No more livin' for the culture, we nobody's slave

Stand up for my home
Even if I take this walk alone
I bow down to the King upon the throne
My life is His, I'm no longer my own
I pray to God that He'll strengthen my hand
They will think twice steppin' onto my land
I draw the line, it's written in the sand
Try me and you will see that I ain't playin'
Now, back up off my family, move your hands
I got my weapons in the spirit's land
I, Jezebel don't even stand a chance
Jezebel don't even stand a chance

Chick-fil-A"
4,On God,Kanye West,JESUS IS KING,2019-10-25,136350,2SasoXZyv82yYgHiVOvxQn,66,False,0.0671,0.41,0.8859999999999999,0.0,9,0.461,-4.413,0,0.155,72.577,4,0.39299999999999996,"Yo, Pi'erre, yo, Pi'erre

""How you get so much favor on your side?""
""Accept Him as your Lord and Saviour,"" I replied
Thou shalt love thy neighbor, not divide
I'ma ride, that's on God
His light shine the brightest in the dark
Single mothers know they got my heart
And all my brothers locked up on the yard
You can still be anything you wanna be
Went from one in four to one in three
Thirteenth amendment, gotta end it, that's on me
He the new commander and the chief
That's on Keef, that's on God
Before the ranch, I had horses in the garage
When the Forbes cover was just a mirage
They had me chasin' statues, that's on pride
""Oh my God,"" Bust said that's on Tribe
When I thought the Book of Job was a job
The Devil had my soul, I can't lie
Life gon' have some lows and some highs
Before the Grammy's ever gave a nod
I wore my heart on my sleeve, I couldn't hide
In '03, they told me not to drive
I bleached my hair for every time I could've died
But I survived, that's on God
I've been tellin' y'all since '05
The greatest artist restin' or alive
That's on L.A. Reid, that's on Clive
That's no Jive, that's on God
Off the 350s He supplied
The IRS want they fifty plus our tithe
Man, that's over half of the pie
I felt dry, that's on God
That's why I charge the prices that I charge
I can't be out here dancin' with the stars
No, I cannot let my family starve
I go hard, that's on God

(Yo Pi'erre, you wanna come out here?)
Okay, okay, okay, okay"
5,Everything We Need,Kanye West,JESUS IS KING,2019-10-25,116559,24bnCCysWnbNRNUT4LpHcP,65,False,0.312,0.894,0.41600000000000004,0.0,9,0.146,-6.8229999999999995,0,0.0538,116.96,4,0.46299999999999997,"We began after the storm inside
Lay the land (Ah), it's just the morning light (Woo, woo)
Woo, woo, oh yeah

Woo-ooh, ooh-ooh
Switch your⁠, switch your attitude
Go 'head, level up yourself
This that different latitude
Ooh-ooh, ooh-ooh
Life too short, go spoil yourself
Feel that feel, enjoy yourself 'cause

We have everything we need (Ooh-ooh, ooh-ooh, oh)
We have everything we need (Ooh-ooh, ooh-ooh, oh, oh)
We have everything we need (Ooh-ooh, ooh-ooh, oh)
We have everything we need (Ooh-ooh, ooh-ooh, oh, woah)
We have everything we need

We began after the storm inside
Lay the land (Ah), it's just the morning light (Oh, yeah)

Switch my, switch my attitude
I'm so, I'm so radical
All these people mad at dude
This for who it matter to
What if Eve made apple juice?
You gon' do what Adam do?
Or say, ""Baby, let's put this back on the tree"" 'cause

We have everything we need (Ooh-ooh, ooh-ooh, oh)
We have everything we need (Ooh-ooh, ooh-ooh, oh, oh)
We have everything we need (Ooh-ooh, ooh-ooh, oh)
We have everything we need (Ooh-ooh, ooh-ooh, oh, woah)
We have everything we need

We began after the storm inside
Lay the land (Ah), it's just the morning light"
6,Water,Kanye West,JESUS IS KING,2019-10-25,168419,454Epa1vrCGFddHXKyC1kb,62,False,0.57,0.505,0.281,0.000254,2,0.163,-12.404000000000002,1,0.1,82.338,4,0.28300000000000003,"Well, right
So, so well
Well, right
So, so
High as the sun come out
Plannin'
Bootin'
Plannin'
Movin'
Plannin'
Tubin', there
Well, well

Clean us like the rain in spring
Take the chlorine out our conversation
Let Your light reflect on me
I promise I'm not hiding anything
It's water
We are water
Pure as water
Like a newborn daughter

The storm may come
But we'll get through it because of Your love
Either way, we crash like water
Your love's water
Pure as water
We are water

Jesus, flow through us
Jesus, heal the bruises
Jesus, clean the music
Jesus, please use us
Jesus, please help
Jesus, please heal
Jesus, please forgive
Jesus, please reveal
Jesus, give us strength
Jesus, make us well
Jesus, help us live
Jesus, give us wealth
Jesus is our safe
Jesus is our rock
Jesus, give us grace
Jesus, keep us safe

Clean us like the rain in spring
Take the chlorine out our conversation
Let Your light reflect on me
I promise I'm not hiding anything
It's water
We are water
Pure as water
Like a newborn daughter

We like water, mmh
We like water
Well, right
So, so well
Well, right
So, so
High as the sun come out
Plannin'
Bootin'
Plannin'
Movin'
Plannin'
Tubin', there
Well, well"
7,God Is,Kanye West,JESUS IS KING,2019-10-25,203141,6xRWoYwfwIKnT8bQGzKbxR,64,False,0.34,0.6559999999999999,0.637,0.0,1,0.187,-3.867,1,0.0256,105.037,4,0.267,"God is
My light in darkness, oh
God, God is
He, He is my all and all (And I'll never turn back)
God is

Everything that hath breath praise the Lord
Worship Christ with the best of your portions
I know I won't forget all He's done
He's the strength in this race that I run
Every time I look up, I see God's faithfulness
And it shows just how much He is miraculous
I can't keep it to myself, I can't sit here and be still
Everybody, I will tell 'til the whole world is healed
King of Kings, Lord of Lords, all the things He has in store
From the rich to the poor, all are welcome through the door
You won't ever be the same when you call on Jesus' name
Listen to the words I'm sayin', Jesus saved me, now I'm sane
And I know, I know God is the force that picked me up
I know Christ is the fountain that filled my cup
I know God is alive, yeah
He has opened up my vision
Giving me a revelation
This ain't 'bout a dead religion
Jesus brought a revolution
All the captives are forgiven
Time to break down all the prisons
Every man, every woman
There is freedom from addiction
Jesus, You have my soul
Sunday Service on a roll
All my idols, let 'em go
All the demons, let 'em know
This a mission, not a show
This is my eternal soul
This my kids, this the crib
This my wife, this my life
This my God-given right
Thank You, Jesus, won the fight

That's what God is
That's what God is
That's what God is"
8,Hands On,Kanye West,JESUS IS KING,2019-10-25,203174,7r6aR2f57resC5r93LwMfK,61,False,0.5579999999999999,0.514,0.39299999999999996,0.0,1,0.282,-8.72,0,0.529,78.039,4,0.598,"Hand 'em
Hands up high, hands on, hands on
Hands on, hands up
In your face, the reason
Hands on, yeah, hands on

Cut out all the lights, He the light
Got pulled over, see the brights
What you doin' on the street at night?
Wonder if they're gonna read your rights
Thirteenth Amendment, three strikes
Made a left when I should've made a right
Told God last time on life
Told the devil that I'm going on a strike
Told the devil when I see him, on sight
I've been working for you my whole life
Told the devil that I'm going on a strike
I've been working for you my whole life
Nothing worse than a hypocrite
Change, he ain't really different
He ain't even try to get permission
Ask for advice and they dissed him
Said I'm finna do a gospel album
What have you been hearin' from the Christians?
They'll be the first one to judge me
Make it feel like nobody love me
They'll be the first one to judge me
Feelin' like nobody love me
Told people God was my mission
What have you been hearin' from the Christians?
They'll be the first one to judge me
Make it feel like nobody love me
Make you feel alone in the dark and you'll never see the light
Man, you're never seein' home and you never see the domes
I can feel it when I write, point of livin' in the right
If they only see the wrongs, never listen to the songs
Just to listen is a fight, but you booked me for the fight
It's so hard to get along if they only see the slight
From the love of religion
What have you been hearin' from the Christians?
They'll be the first one to judge me
Make it seem like nobody love me
I'm not tryna lead you to Visas
But if I try to lead you to Jesus
We get called halfway believers
Only halfway read Ephesians
Only if they knew what I knew, uh
I was never new 'til I knew of
True and living God, Yeshua
The true and living God
(Somebody pray for me)

Hand 'em
Hands up high, hands on, hands on
Hands on, hands up
In your face, the reason
Hands on, yeah, hands on

I deserve all the criticism you got
If that's all the love you have, that's all you got
To sing of change, you think I'm joking
To praise His name, you ask what I'm smoking
Yes, I understand your reluctancy, yeah
But I have a request, you see
Don't throw me up, lay your hands on me
Please, pray for me
Hold myself on death
Hold it down, all fallen down
Somebody pray for me

Hand 'em
Hands up high, hands on, hands on
Hands on, hands up
In your face, the reason
Hands on, yeah, hands on"
9,Use This Gospel,Kanye West,JESUS IS KING,2019-10-25,213877,0oPOuDmmkVp3h6puekhs6P,66,False,0.614,0.611,0.45899999999999996,0.0,0,0.126,-3.926,0,0.0422,148.28,4,0.177,"Oh, oh, oh, oh, oh, oh
Oh, oh, oh, oh-oh, oh, oh
Oh, oh, oh, oh, oh, oh
Oh, oh, oh, oh-oh, oh, oh

Use this gospel for protection
It's a hard road to Heaven
We call on Your blessings
In the Father, we put our faith
King of the kingdom
Our demons are tremblin'
Holy angels defendin'
In the Father, we put our faith

Oh, oh, oh, oh, oh, oh
Oh, oh, oh, oh-oh, oh, oh

How could He not be the greatest?
In my bed, under covers when undercovers had raided
My presence is happy belated
Fashionably late, I'm just glad that you made it
The best is yet to come, I'm just glad that you waited
They all say they real 'til it's time to appraise it
I seen them come and go, you only the latest
But who am I to judge? I'm crooked as Vegas

Use this gospel for protection
It's a hard road to Heaven
We call on Your blessings
In the Father, we put our faith
King of the kingdom
Our demons are tremblin'
Holy angels defendin'
In the Father, we put our faith

A lot of damaged souls, I done damaged those
And in my arrogance, took a camera pose
Caught with a trunk of Barry Manilows
They sing a different tune when the slammer close
From the concrete grew a rose
They give you Wraith talk, I give you faith talk
Blindfolded on this road, watch me faith walk
Just hold on to your brother when his faith lost


Oh, oh, oh (Work, work, work, work)
Oh, oh, oh (Work, work, work, work)
Oh, oh, oh (Work, work, work, work)
Oh-oh, oh, oh (Work, work, work, work)
Oh, oh, oh (Work, work, work, work)
Oh, oh, oh (Work, work, work, work)
Oh, oh, oh (Work, work, work, work)
Oh-oh, oh, oh (Work, work, work, work)"
